用户ID,参与项目,提交方案,享受政策,使用时长,月份
1007,数字化车间改造,基础数据采集方案,技术创新扶持基金,22小时,2025-01
1007,智能制造优化方案众包,5S现场管理咨询,数字化转型补贴,20小时,2025-02
1007,产品质量检测系统开发,量具校准管理方案,研发费用加计扣除,24小时,2025-03
1007,工业互联网平台建设,简单设备联网尝试,人才引进政策支持,21小时,2025-04
1007,供应链协同平台设计,Excel台账规范化,知识产权保护资助,19小时,2025-05
1007,工业APP开发,简易扫码入库工具,技术创新扶持基金,23小时,2025-06
1007,MES系统实施咨询,基础数据整理,数字化转型补贴,20小时,2025-07
1007,数字孪生应用探索,2D布局图绘制,研发费用加计扣除,22小时,2025-08
1007,绿色制造改造项目,垃圾分类管理方案,人才引进政策支持,21小时,2025-09
1007,工业机器人集成应用,半自动上下料改造,知识产权保护资助,25小时,2025-10
1007,智能仓储物流系统,货位标识规范化,技术创新扶持基金,20小时,2025-11
1007,智能工厂规划设计,车间通道优化,数字化转型补贴,23小时,2025-12
1008,智能工厂规划设计,顶层架构设计方案,技术创新扶持基金,70小时,2025-01
1008,工业互联网平台建设,云平台整体解决方案,数字化转型补贴,75小时,2025-02
1008,智能制造优化方案众包,黑灯工厂建设方案,研发费用加计扣除,68小时,2025-03
1008,数字化车间改造,全自动化产线设计,人才引进政策支持,72小时,2025-04
1008,产品质量检测系统开发,全流程质量追溯,知识产权保护资助,66小时,2025-05
1008,MES系统实施咨询,智能工厂MES定制,技术创新扶持基金,73小时,2025-06
1008,工业APP开发,数字孪生可视化平台,数字化转型补贴,69小时,2025-07
1008,数字孪生应用探索,虚实联动调试方案,研发费用加计扣除,71小时,2025-08
1008,绿色制造改造项目,零碳工厂规划方案,人才引进政策支持,67小时,2025-09
1008,工业机器人集成应用,无人化仓储方案,知识产权保护资助,74小时,2025-10
1008,智能仓储物流系统,智能立体库设计,技术创新扶持基金,70小时,2025-11
1008,供应链协同平台设计,产业链协同平台,数字化转型补贴,76小时,2025-12
1009,智能制造优化方案众包,门店客流分析方案,技术创新扶持基金,40小时,2025-01
1009,工业互联网平台建设,零售IoT解决方案,数字化转型补贴,38小时,2025-02
1009,数字化车间改造,后厨标准化流程,研发费用加计扣除,42小时,2025-03
1009,产品质量检测系统开发,食品安全检测方案,人才引进政策支持,36小时,2025-04
1009,供应链协同平台设计,冷链物流监控方案,知识产权保护资助,39小时,2025-05
1009,工业APP开发,会员管理小程序,技术创新扶持基金,41小时,2025-06
1009,MES系统实施咨询,中央厨房管理系统,数字化转型补贴,37小时,2025-07
1009,数字孪生应用探索,门店布局优化仿真,研发费用加计扣除,43小时,2025-08
1009,绿色制造改造项目,餐厨垃圾处理方案,人才引进政策支持,35小时,2025-09
1009,工业机器人集成应用,自动烹饪设备应用,知识产权保护资助,44小时,2025-10
1009,智能仓储物流系统,食材配送优化方案,技术创新扶持基金,40小时,2025-11
1009,智能工厂规划设计,连锁门店标准化,数字化转型补贴,45小时,2025-12
1010,工业互联网平台建设,宿舍网络覆盖方案,技术创新扶持基金,30小时,2025-01
1010,智能制造优化方案众包,公共区域清洁方案,数字化转型补贴,28小时,2025-02
1010,数字化车间改造,共享空间管理,研发费用加计扣除,32小时,2025-03
1010,产品质量检测系统开发,公共设施巡检方案,人才引进政策支持,27小时,2025-04
1010,供应链协同平台设计,团购拼单平台设计,知识产权保护资助,29小时,2025-05
1010,工业APP开发,合租管理小程序,技术创新扶持基金,31小时,2025-06
1010,MES系统实施咨询,费用分摊系统设计,数字化转型补贴,26小时,2025-07
1010,数字孪生应用探索,户型改造方案对比,研发费用加计扣除,30小时,2025-08
1010,绿色制造改造项目,节能用电管理方案,人才引进政策支持,28小时,2025-09
1010,工业机器人集成应用,智能家居联动方案,知识产权保护资助,33小时,2025-10
1010,智能仓储物流系统,快递收纳管理方案,技术创新扶持基金,29小时,2025-11
1010,智能工厂规划设计,合租空间优化设计,数字化转型补贴,32小时,2025-12
